0.02;0.17;5.0515976
0.02;0.18;5.254378
0.02;0.19;5.433467
0.02;0.2;5.6119914
0.02;0.21;5.794466
0.02;0.22;5.989898
0.02;0.23;6.1853323
0.02;0.24;6.384637
0.02;0.25;6.5849295
0.02;0.26;6.7852144
0.02;0.27;6.9855337
0.02;0.28;7.1858234
0.02;0.29;7.3860908
0.02;0.3;7.586393
0.02;0.31;7.786666
0.02;0.32;7.986975
0.02;0.33;8.132542
0.02;0.34;8.263235
0.02;0.35;8.393917
0.02;0.36;8.524606
0.02;0.37;8.655296
0.02;0.38;8.777763
0.02;0.39;8.904148
0.02;0.4;9.031618
0.02;0.41;9.1593685
0.02;0.42;9.290012
0.02;0.43;9.420662
0.02;0.44;9.551314
0.02;0.45;9.68197
0.02;0.46;9.812641
0.02;0.47;9.943267
0.02;0.48;10.0739155
0.02;0.49;10.204497
0.02;0.5;10.3345585
0.02;0.51;10.464639
0.02;0.52;10.5947
0.02;0.53;10.724768
0.02;0.54;10.85484
0.02;0.55;10.984902
0.02;0.56;11.353429
0.02;0.57;11.737338
0.02;0.58;12.121244
0.02;0.59;12.513221
0.02;0.6;12.918157
0.02;0.61;13.404382
0.02;0.62;13.56462
0.02;0.63;13.61694
0.02;0.64;13.685167
0.02;0.65;13.761763
0.02;0.66;13.83977
0.02;0.67;13.927511
0.02;0.68;14.015253
0.02;0.69;14.103005
0.02;0.7;14.303414
0.02;0.71;14.654686
0.02;0.72;15.005981
0.02;0.73;15.367752
0.02;0.74;16.348671
0.02;0.75;17.361023
0.02;0.76;18.372917
0.02;0.77;19.384783
0.02;0.78;20.536848
0.02;0.79;21.749767
0.02;0.8;23.516363
0.02;0.81;25.91758
0.02;0.82;28.306456
0.02;0.83;30.706816
0.02;0.84;33.368954
0.02;0.85;36.86888
0.02;0.86;40.355637
0.02;0.87;43.47503
0.02;0.88;44.735046
0.02;0.89;47.12976
0.02;0.9;46.864906
0.02;0.91;45.07527
0.02;0.92;44.80169
0.02;0.93;44.949562
