stars;acc;pp
1.3;0.9899074559105989;75.9664
1.3;0.9886890557398677;75.3001
1.3;0.9886812952292261;75.2958
1.3;0.987206798207322;74.4894
1.3;0.9871291931009061;74.447
1.3;0.9867062452709389;74.2157
1.3;0.9865820771006732;74.1478
1.3;0.9864928312282948;74.099
1.3;0.986430747143162;74.065
1.3;0.9863298605048212;74.0099
1.3;0.986314339483538;74.0014
1.3;0.9855150068874532;73.5642
1.3;0.9899074559105989;75.9664
1.3;0.9886890557398677;75.3001
1.3;0.9886812952292261;75.2958
1.3;0.987206798207322;74.4894
1.3;0.9871291931009061;74.447
1.3;0.9867062452709389;74.2157
1.3;0.9865820771006732;74.1478
1.3;0.9864928312282948;74.099
1.3;0.986430747143162;74.065
1.3;0.9863298605048212;74.0099
1.3;0.986314339483538;74.0014
1.3;0.9855150068874532;73.5642
1.3;0.9854917253555284;73.5515
1.3;0.9853559164193004;73.4772
1.3;0.9849872921638244;73.2756
1.3;0.9848320819509924;73.1908
1.3;0.9845604640785364;73.0422
1.3;0.9840327493549076;72.7536
1.3;0.9839202219506044;72.6921
1.3;0.9838426168441884;72.6496
1.3;0.9837650117377723;72.6072
1.3;0.983733969695206;72.5902
1.3;0.9836175620355819;72.5266
1.3;0.9834701123333915;72.4459
1.3;0.9829346370991211;72.1531
1.3;0.9827988281628931;72.0788
1.3;0.9827483848437227;72.0512
1.3;0.9826824205032691;72.0151
1.3;0.9824845274819083;71.9069
1.3;0.9823642395669635;71.8411
1.3;0.9823099159924723;71.8114
1.3;0.9822284306307355;71.7669
1.3;0.9821818675668859;71.7414
1.3;0.9820538191412995;71.6714
1.3;0.9817822012688435;71.5228
1.3;0.981731757949673;71.4952
1.3;0.9816114700347283;71.4295
1.3;0.9812622470558563;71.2385
1.3;0.9811846419494403;71.196
1.3;0.9811341986302698;71.1684
1.3;0.9809130240769842;71.0475
1.3;0.9808004966726811;70.9859
1.3;0.980722891566265;70.9435
1.3;0.9805832023747163;70.8671
1.3;0.9800399666298042;70.57
1.3;0.9798886366722931;70.4933
1.3;0.9797916302892731;70.4456
1.3;0.979617018799837;70.3597
1.3;0.9795665754806666;70.3348
1.3;0.979539413693421;70.3215
1.3;0.9795122519061754;70.3081
1.3;0.9792134722464738;70.161
1.3;0.9791979512251906;70.1534
1.3;0.9789496148846594;70.0312
1.3;0.9787905244165066;69.9529
1.3;0.9787400810973362;69.928
1.3;0.9787362008420154;69.9261
1.3;0.978491744756805;69.8058
1.3;0.9784839842461635;69.802
1.3;0.9782744504588402;69.6989
1.3;0.978045515394913;69.5862
1.3;0.9778631433948354;69.4964
1.3;0.9777777777777777;69.4544
1.3;0.9776225675649458;69.378
1.3;0.9775527229691714;69.3436
1.3;0.9775139204159634;69.3245
1.3;0.9773121471392817;69.2252
1.3;0.9771608171817706;69.1507
1.3;0.9767883126709738;68.9674
1.3;0.9765748986283297;68.8623
1.3;0.9764507304580642;68.8012
1.3;0.976396406883573;68.7745
1.3;0.9760976272238713;68.6274
1.3;0.9760898667132297;68.6236
1.3;0.9760083813514929;68.5835
1.3;0.9757833265428866;68.4727
1.3;0.9757018411811497;68.4326
1.3;0.9754341035640145;68.3008
1.3;0.9752362105426537;68.2034
1.3;0.9751896474788041;68.1805
1.3;0.975034437265972;68.1041
1.3;0.9750305570106513;68.1022
1.3;0.9749801136914809;68.0774
1.3;0.9748481850105737;68.0125
1.3;0.9748287837339698;68.0029
1.3;0.9747434181169121;67.9609
1.3;0.9741963021166793;67.6916
1.3;0.9741380982868673;67.6629
1.3;0.9739984090953184;67.5942
1.3;0.9739014027122984;67.5464
1.3;0.9738470791378072;67.5197
1.3;0.9737655937760704;67.4796
1.3;0.9737500727547873;67.472
1.3;0.9736453058611256;67.4204
1.3;0.9736336650951632;67.4147
1.3;0.97342413130784;67.3115
1.3;0.9734047300312361;67.302
1.3;0.9734008497759152;67.3001
1.3;0.9730943096055721;67.1492
1.3;0.9729701414353065;67.0881
1.3;0.9729429796480609;67.0747
